Nombre,C—digo Actual,C—digo Correcto,Faltantes,Nombre de imagen
"Lexmark Fotoconductor 55B0ZA0, 40.000 P‡ginas",,LX55B0ZA0,Falta agregar a IC,LX55B0ZA0
"T—ner Lexmark 58D4000 Super Alto Rendimiento Negro, 7.500 P‡ginas",,LX58D4000,,LX58D4000
Tambor de imagen Lexmark L‡ser - Original - Negro - 60000 P‡ginas,,LX56F0Z00,,LX56F0Z00
Cartucho de impresion Lexmark negro del programa de retorno,LXB224,LX20N40K0,,LX20N40K0
CINTA LEXMARK #24XX,,LX3070166,Falta agregar a IC,LX3070166
"T—ner Lexmark 20N40C0 Cian, 1.500 P‡ginas",,LX20N40C0,,LX20N40C0
"T—ner Lexmark 20N40M0 Magenta, 1.500 P‡ginas",,LX20N40M0,,LX20N40M0
"T—ner Lexmark 20N40Y0 Amarillo, 1.500 P‡ginas",,LX20N40Y0,,LX20N40Y0
T—ner Lexmark 20N4XC0 Rendimiento Extra Alto Color Cian,,LX20N4XC0,,LX20N4XC0
T—ner Lexmark 20N4XK0 Rendimiento Extra Alto Color Negro,,LX20N4XK0,,LX20N4XK0
T—ner Lexmark 20N4XM0 Rendimiento Extra Alto Color Magenta,,LX20N4XM0,,LX20N4XM0
T—ner Lexmark 20N4XY0 Rendimiento Extra Alto Color Amarillo,,LX20N4XY0,,LX20N4XY0
,,,,
,,,,